	query	target	id
79	Q5BFW3	A0A0D2AFJ7	78.9
80	Q5BFW3	A0A2J6T8G8	78.9
81	Q5BFW3	A0A0D2F3N4	78.8
82	Q5BFW3	A0A072PRU7	78.8
83	Q5BFW3	A0A0D1ZSC5	78.8
84	Q5BFW3	A0A2J6PTI5	78.7
85	Q5BFW3	A0A194XNF4	78.6
86	Q5BFW3	A0A0D2EK50	78.5
87	Q5BFW3	A0A0D2CY69	78.4
88	Q5BFW3	W9X977	78.4
89	Q5BFW3	A0A0D2CX58	78.4
90	Q5BFW3	A7E6B5	78.3
91	Q5BFW3	A0A2J6S5S8	78.3
92	Q5BFW3	A0A1Q8RSU2	78.2
93	Q5BFW3	W9Y7V1	78.1
94	Q5BFW3	A0A2V1DZ69	78.0
95	Q5BFW3	A0A2V1C0J1	78.0
96	Q5BFW3	A0A5M9JVZ9	78.0
97	Q5BFW3	A0A2T3AX85	78.0
98	Q5BFW3	A0A1L7WVX5	78.0
99	Q5BFW3	A0A4R8R015	77.9
100	Q5BFW3	N4VAA4	77.9
101	Q5BFW3	W9W4X4	77.9
102	Q5BFW3	M2V4S3	77.9
103	Q5BFW3	K1Y422	77.9
104	Q5BFW3	Q9C1S3	77.7
105	Q5BFW3	S3CPI0	77.7
106	Q5BFW3	A0A3D8SR04	77.6
107	Q5BFW3	G0RRS1	77.6
108	Q5BFW3	A0A194UX87	77.6
109	Q5BFW3	E4ZS94	77.6
110	Q5BFW3	W6YIK7	77.6
111	Q5BFW3	A0A1Y1Y8W2	77.6
112	Q5BFW3	M2RHN8	77.6
113	Q5BFW3	M7UID6	77.4
114	Q5BFW3	R0JW60	77.4
115	Q5BFW3	A0A3E2GT83	77.3
116	Q5BFW3	A0A4Z1L148	77.3
117	Q5BFW3	A0A1G4BGG5	77.2
118	Q5BFW3	A0A2T4BTG5	77.2
119	Q5BFW3	A0A175W4Q6	77.2
120	Q5BFW3	A0A370TVS3	77.1
121	Q5BFW3	A0A074XWT8	77.1
122	Q5BFW3	A0A177CWT1	77.1
123	Q5BFW3	G2XS59	77.1
124	Q5BFW3	A0A2P4ZJM8	77.0
125	Q5BFW3	G9NP24	77.0
126	Q5BFW3	A0A4Z1KC62	77.0
127	Q5BFW3	A0A010RMG6	76.9
128	Q5BFW3	A0A2P5HRC7	76.9
129	Q5BFW3	H0ELG6	76.9
130	Q5BFW3	A0A074W4F7	76.9
131	Q5BFW3	Q0UYY5	76.9
132	Q5BFW3	T0KZZ1	76.8
133	Q5BFW3	A0A4Y8D203	76.8
134	Q5BFW3	A0A423WGA7	76.7
135	Q5BFW3	W3XJD9	76.7
136	Q5BFW3	A0A423XHQ7	76.7
137	Q5BFW3	A0A1E1KHE7	76.7
138	Q5BFW3	L2FC28	76.7
139	Q5BFW3	A0A1C1C6C4	76.7
140	Q5BFW3	A0A162IAZ2	76.6
141	Q5BFW3	A0A162MZU6	76.6
142	Q5BFW3	A0A066X5A7	76.6
143	Q5BFW3	A0A428PAC1	76.6
144	Q5BFW3	A0A507B7L9	76.6
145	Q5BFW3	A0A2T3YX01	76.6
146	Q5BFW3	A0A395N9G7	76.6
147	Q5BFW3	A0A7D8UU31	76.6
148	Q5BFW3	A0A5Q4BJR1	76.5
149	Q5BFW3	A0A4U6X6L6	76.5
150	Q5BFW3	C7ZD82	76.5
151	Q5BFW3	A0A5N5KQM7	76.5
152	Q5BFW3	A0A0F9XM87	76.5
153	Q5BFW3	A0A2T3ZV55	76.5
154	Q5BFW3	A0A178DM25	76.4
155	Q5BFW3	A0A1Z5TFN5	76.4
156	Q5BFW3	A0A1Z5TU80	76.4
157	Q5BFW3	A0A177D705	76.4
158	Q5BFW3	A0A364MXF6	76.4
159	Q5BFW3	E3QV85	76.3
160	Q5BFW3	A0A4T0WKD8	76.3
161	Q5BFW3	A0A420Y6G0	76.3
162	Q5BFW3	G9N8S0	76.3
163	Q5BFW3	A0A428UCX7	76.3
164	Q5BFW3	A0A3M2SL30	76.3
165	Q5BFW3	A0A5N5JXS7	76.3
166	Q5BFW3	R1EEN8	76.3
167	Q5BFW3	R7YPA1	76.3
168	Q5BFW3	A0A3M6WYP1	76.3
169	Q5BFW3	A0A3M7BEA0	76.3
170	Q5BFW3	A0A166RI72	76.2
171	Q5BFW3	A0A428NE95	76.2
172	Q5BFW3	A0A1Y2EKH6	76.2
173	Q5BFW3	A0A150V9F0	76.2
174	Q5BFW3	A0A7C8MEZ2	76.1
175	Q5BFW3	W9CNQ9	76.1
176	Q5BFW3	A0A074WF13	76.1
177	Q5BFW3	A0A0N0NJ30	76.1
178	Q5BFW3	A0A1J7JQ54	76.0
179	Q5BFW3	A0A395N0T1	76.0
180	Q5BFW3	A0A4U0TJT0	76.0
181	Q5BFW3	A0A2T2NH42	76.0
182	Q5BFW3	A0A517L855	76.0
183	Q5BFW3	A0A084GCK7	75.9
184	Q5BFW3	A0A2N3N139	75.9
185	Q5BFW3	A0A5N5D932	75.9
186	Q5BFW3	A0A2T3AAA4	75.9
187	Q5BFW3	A0A0G2G1B8	75.9
188	Q5BFW3	A0A4Z0YFK3	75.9
189	Q5BFW3	A0A0G2EW25	75.9
190	Q5BFW3	W2S189	75.9
191	Q5BFW3	A0A559MAH0	75.8
192	Q5BFW3	A0A1B8AE72	75.7
193	Q5BFW3	A0A7C8IM37	75.7
194	Q5BFW3	A0A0C4E9L8	75.7
195	Q5BFW3	G2R1V2	75.6
196	Q5BFW3	J3PH24	75.6
197	Q5BFW3	W7N4L9	75.6
198	Q5BFW3	A0A0E0SDM0	75.6
199	Q5BFW3	A0A2T4H210	75.6
200	Q5BFW3	A0A2K0WVU4	75.6
201	Q5BFW3	R8BGK6	75.6
202	Q5BFW3	A0A074YNW2	75.6
203	Q5BFW3	E3RDM4	75.5
204	Q5BFW3	A0A163E1X7	75.5
205	Q5BFW3	A0A1V1TC36	75.4
206	Q5BFW3	N1S467	75.3
207	Q5BFW3	X0CZJ3	75.3
208	Q5BFW3	A0A0D2YGJ6	75.3
209	Q5BFW3	A0A2H3H306	75.3
210	Q5BFW3	W9J4H7	75.3
211	Q5BFW3	N4TXI0	75.3
212	Q5BFW3	A0A2S7P6M0	75.2
213	Q5BFW3	F9F678	75.1
214	Q5BFW3	A0A6A6Y0P5	75.1
215	Q5BFW3	A0A2L2SPC1	75.0
216	Q5BFW3	A0A136J8S2	75.0
217	Q5BFW3	Q2H3S5	75.0
218	Q5BFW3	A0A395SP46	75.0
219	Q5BFW3	S0DVK4	75.0
220	Q5BFW3	A0A1W2TQY8	75.0
221	Q5BFW3	A0A2K1QGL6	75.0
222	Q5BFW3	A0A0F4G7F6	75.0
223	Q5BFW3	A0A395IKF8	75.0
224	Q5BFW3	F9XCV2	75.0
225	Q5BFW3	A0A1X7RVT7	75.0
226	Q5BFW3	A0A3M9Y5X2	74.9
227	Q5BFW3	A0A1J9QW67	74.9
228	Q5BFW3	G4U5F6	74.9
229	Q5BFW3	A0A1Y2UY51	74.9
230	Q5BFW3	A0A1Y2VR85	74.9
231	Q5BFW3	A0A135V8D0	74.7
232	Q5BFW3	A0A2S7QS87	74.6
233	Q5BFW3	A0A090CAV9	74.6
234	Q5BFW3	A0A4Q4UNX4	74.6
235	Q5BFW3	A0A395TAD6	74.6
236	Q5BFW3	A0A2P7ZE34	74.5
237	Q5BFW3	A0A0G4KKU1	74.5
238	Q5BFW3	A0A4Q4VQ69	74.4
239	Q5BFW3	A0A4Q4VBJ1	74.4
240	Q5BFW3	F0X7T2	74.4
241	Q5BFW3	A0A1Y2WV54	74.4
242	Q5BFW3	A0A4Q4YUR7	74.4
243	Q5BFW3	S3D7K6	74.3
244	Q5BFW3	G4N5G7	74.0
245	Q5BFW3	A0A4Q4TAX8	74.0
246	Q5BFW3	A0A4V1XNJ5	74.0
247	Q5BFW3	A0A6P8BIP6	73.8
248	Q5BFW3	M2YUV9	73.8
249	Q5BFW3	M3CF66	73.7
250	Q5BFW3	Q9P304	73.4
251	Q5BFW3	A0A139GXZ0	73.4
252	Q5BFW3	A0A4Q4YSZ1	73.3
253	Q5BFW3	A0A439D947	73.3
254	Q5BFW3	A0A3N4KBK2	73.0
255	Q5BFW3	A0A5N6KBE6	72.9
256	Q5BFW3	A0A2S6C2B0	72.8
257	Q5BFW3	N1PK14	72.8
258	Q5BFW3	C9SS38	72.7
259	Q5BFW3	G2XHT3	72.7
260	Q5BFW3	A0A218ZHE2	72.5
261	Q5BFW3	G2QME6	72.4
262	Q5BFW3	A0A423W9P7	71.9
263	Q5BFW3	A0A2I0RJV3	71.8
264	Q5BFW3	W6Q7N2	71.8
265	Q5BFW3	A0A553HPK9	71.4
266	Q5BFW3	P04842	67.4
267	Q5BFW3	F2QY27	67.4
268	Q5BFW3	W6MF75	67.4
269	Q5BFW3	Q6TAW1	67.3
270	Q5BFW3	C4R702	66.7
271	Q5BFW3	F2R038	66.6
272	Q5BFW3	Q5S060	64.6
273	Q5BFW3	Q5S057	64.5
274	Q5BFW3	Q9UVU1	64.1
275	Q5BFW3	Q5S059	64.0
276	Q5BFW3	A0A067YIW8	64.0
277	Q5BFW3	Q9UVU2	63.9
278	Q5BFW3	A0A1E4T6V9	63.8
279	Q5BFW3	Q5S058	63.4
280	Q5BFW3	A0A1E4SZH3	63.3
281	Q5BFW3	A0A1E4SXY7	62.8
282	Q5BFW3	W1QCJ3	62.8
283	Q5BFW3	A6PZG7	62.7
284	Q5BFW3	A6PZG9	62.4
285	Q5BFW3	A0A165CTU6	51.3
286	Q5BFW3	A0A5C3KN19	50.6
287	Q5BFW3	A0A1J8PQ85	50.5
288	Q5BFW3	A0A1B7NGS0	50.5
289	Q5BFW3	V2WB91	50.5
290	Q5BFW3	A0A0B7F5J3	50.5
291	Q5BFW3	A0A5C3Q819	50.4
292	Q5BFW3	A0A060SVX6	50.4
293	Q5BFW3	A0A074S3I4	50.4
294	Q5BFW3	A0A4S8M4X0	50.3
295	Q5BFW3	A0A0D0CSB1	50.1
296	Q5BFW3	A0A2H3BQD5	50.1
297	Q5BFW3	A0A0C3NHS8	50.1
298	Q5BFW3	S7RFS3	50.0
300	Q5BFW3	A0A1M2VA28	49.9
301	Q5BFW3	K5WGG5	49.9
302	Q5BFW3	A0A2A9N9H1	49.9
303	Q5BFW3	A0A165U9X1	49.9
304	Q5BFW3	D8PVH1	49.9
305	Q5BFW3	A0A2H3JSG5	49.8
306	Q5BFW3	A0A284QYF0	49.7
307	Q5BFW3	A0A165ILZ5	49.7
308	Q5BFW3	A0A2H3ETP7	49.7
309	Q5BFW3	R7SWA7	49.6
310	Q5BFW3	A0A4Q9PTL3	49.6
311	Q5BFW3	T2M2J4	49.6
312	Q5BFW3	J4IBN1	49.6
313	Q5BFW3	A0A1Y2IML5	49.6
314	Q5BFW3	K5XK42	49.6
315	Q5BFW3	A0A1X6MWH7	49.6
316	Q5BFW3	A8P219	49.6
318	Q5BFW3	A0A0D7BBW7	49.6
319	Q5BFW3	A0A5C3LYG0	49.5
320	Q5BFW3	A0A0D2NCE0	49.4
321	Q5BFW3	A0A550CU55	49.4
322	Q5BFW3	A0A0C9T9D2	49.3
323	Q5BFW3	W4JTB1	49.3
324	Q5BFW3	A0A5M3MJ52	49.3
325	Q5BFW3	A0A5N5QNB3	49.3
326	Q5BFW3	M5GCQ7	49.3
327	Q5BFW3	A0A5C3NW19	49.3
328	Q5BFW3	A0A5C3N508	49.3
329	Q5BFW3	A0A371CLQ4	49.3
330	Q5BFW3	A0A286U5Q1	49.3
331	Q5BFW3	M2PWC9	49.2
332	Q5BFW3	A0A166GS67	49.2
333	Q5BFW3	A0A165VRV2	49.1
334	Q5BFW3	A0A164WSN9	49.1
335	Q5BFW3	A0A166DDH7	49.1
336	Q5BFW3	F8Q303	49.1
337	Q5BFW3	A0A1Q3EBI7	49.0
338	Q5BFW3	A0A409VUL1	48.9
339	Q5BFW3	A0A165F0M1	48.8
340	Q5BFW3	A0A4R0RDJ8	48.6
341	Q5BFW3	A0A2G8SRN5	48.6
342	Q5BFW3	A0A1Y2BZ16	48.6
343	Q5BFW3	A0A4S4MTI8	48.5
344	Q5BFW3	A0A401GA83	48.5
345	Q5BFW3	A0A5E3X2T7	48.5
346	Q5BFW3	A0A067N510	48.5
347	Q5BFW3	S8FNA5	48.4
348	Q5BFW3	A0A0H2RJ10	48.4
349	Q5BFW3	A0A067PQ89	48.3
350	Q5BFW3	A0A167P4E4	48.3
351	Q5BFW3	A0A4Y9YV70	48.3
352	Q5BFW3	A0A5B1QN96	48.1
353	Q5BFW3	A0A0L6X0R2	47.9
354	Q5BFW3	A0A369JI11	47.9
355	Q5BFW3	A0A4Z0A149	47.8
356	Q5BFW3	A0A0C9T329	47.6
357	Q5BFW3	A0A4Y9YTF6	47.3
358	Q5BFW3	A0A067SV84	45.7
359	Q9C1S3	W6YIK7	99.8
360	Q9C1S3	M2RHN8	98.6
361	Q9C1S3	M2V4S3	98.2
362	Q9C1S3	R0JW60	97.6
363	Q9C1S3	A0A177D705	94.9
364	Q9C1S3	A0A364MXF6	94.1
365	Q9C1S3	A0A178DM25	93.2
366	Q9C1S3	A0A2T2NH42	92.8
367	Q9C1S3	A0A177CWT1	92.0
368	Q9C1S3	Q0UYY5	91.9
369	Q9C1S3	A0A7C8MEZ2	91.4
370	Q9C1S3	E4ZS94	91.3
371	Q9C1S3	A0A2V1DZ69	91.3
372	Q9C1S3	E3RDM4	91.3
373	Q9C1S3	A0A1Y1Y8W2	90.7
374	Q9C1S3	A0A163E1X7	90.1
375	Q9C1S3	R7YPA1	87.7
376	Q9C1S3	A0A6A6Y0P5	87.1
377	Q9C1S3	A0A517L855	86.9
378	Q9C1S3	A0A074XWT8	86.5
379	Q9C1S3	A0A0D2AFJ7	86.0
380	Q9C1S3	A0A1Z5TU80	85.9
381	Q9C1S3	A0A2V1C0J1	85.9
382	Q9C1S3	A0A1Z5TFN5	85.9
383	Q9C1S3	A0A3M7BEA0	85.7
384	Q9C1S3	S3CPI0	85.6
385	Q9C1S3	A0A1L7WVX5	85.6
386	Q9C1S3	A0A194XNF4	85.6
387	Q9C1S3	A0A3M6WYP1	85.4
388	Q9C1S3	K1Y422	85.4
389	Q9C1S3	A0A074YNW2	85.3
390	Q9C1S3	A0A074WF13	85.1
391	Q9C1S3	A0A2J6T8G8	85.0
392	Q9C1S3	A0A2J6PTI5	85.0
393	Q9C1S3	A0A4U0TJT0	85.0
394	Q9C1S3	A0A2K1QGL6	84.8
395	Q9C1S3	A0A2J6S5S8	84.8
396	Q9C1S3	H0ELG6	84.7
397	Q9C1S3	A0A1E1KHE7	84.4
398	Q9C1S3	A0A074W4F7	84.4
399	Q9C1S3	A0A1X7RVT7	84.1
400	Q9C1S3	F9XCV2	84.1
401	Q9C1S3	A0A3D8SR04	83.9
402	Q9C1S3	A0A5N5D932	83.9
403	Q9C1S3	A0A7D8UU31	83.9
404	Q9C1S3	A0A0F4G7F6	83.8
405	Q9C1S3	R1EEN8	83.6
406	Q9C1S3	A0A2T3AX85	83.6
407	Q9C1S3	A0A2P7ZE34	83.6
408	Q9C1S3	A0A3E2GT83	83.6
409	Q9C1S3	A0A0G2EW25	83.2
410	Q9C1S3	M7UID6	83.2
411	Q9C1S3	A0A559MAH0	83.2
412	Q9C1S3	A0A370TVS3	83.0
413	Q9C1S3	A0A4Z1L148	82.9
414	Q9C1S3	A7E6B5	82.9
415	Q9C1S3	G2XS59	82.8
416	Q9C1S3	A0A1J9QW67	82.7
417	Q9C1S3	A0A4Y8D203	82.6
418	Q9C1S3	A0A443I0D2	82.6
419	Q9C1S3	A0A4Z1KC62	82.6
420	Q9C1S3	V5FXD6	82.6
421	Q9C1S3	A0A150V9F0	82.4
422	Q9C1S3	A0A5M9JVZ9	82.1
423	Q9C1S3	Q9P304	82.0
424	Q9C1S3	M2YUV9	81.7
425	Q9C1S3	W9CNQ9	81.7
426	Q9C1S3	A0A317VRS8	81.5
427	Q9C1S3	A0A5N7D6G6	81.2
428	Q9C1S3	A0A1L9RP90	81.2
429	Q9C1S3	A0A401KSG4	81.1
430	Q9C1S3	A0A1Q8RSU2	81.1
431	Q9C1S3	A0A1L9UG76	81.1
432	Q9C1S3	A0A2B7Z2F3	81.1
433	Q9C1S3	A0A1L9NM57	81.0
434	Q9C1S3	A0A3F3PYJ0	81.0
435	Q9C1S3	A0A2B7XYC7	80.9
436	Q9C1S3	A2RB46	80.8
437	Q9C1S3	A0A5N6T6J1	80.8
438	Q9C1S3	A0A5N7A3P5	80.8
439	Q9C1S3	A0A1F7ZTY3	80.8
440	Q9C1S3	A0A5N6UU48	80.8
441	Q9C1S3	B8LTH7	80.8
442	Q9C1S3	A0A139GXZ0	80.8
443	Q9C1S3	A0A0D2DMY6	80.7
444	Q9C1S3	A0A0D2BJ30	80.7
445	Q9C1S3	A0A2S6C2B0	80.6
446	Q9C1S3	A0A428PAC1	80.6
447	Q9C1S3	A0A319DNN5	80.6
448	Q9C1S3	A0A0L1IYH5	80.6
449	Q9C1S3	A0A2S7P6M0	80.6
450	Q9C1S3	A0A395IKF8	80.6
451	Q9C1S3	N1PK14	80.6
452	Q9C1S3	T0KZZ1	80.5
453	Q9C1S3	A0A162MZU6	80.5
454	Q9C1S3	A0A1L9SKB6	80.5
455	Q9C1S3	W9YRP8	80.5
456	Q9C1S3	A0A1S9D6N2	80.5
457	Q9C1S3	B8NNE1	80.5
458	Q9C1S3	A0A194UX87	80.5
459	Q9C1S3	A0A364M4W2	80.5
460	Q9C1S3	A0A5N6TJD5	80.5
461	Q9C1S3	L2FC28	80.4
462	Q9C1S3	A0A1R3RRE5	80.4
463	Q9C1S3	A0A178ZH86	80.4
464	Q9C1S3	A0A5N6FLB4	80.3
465	Q9C1S3	A0A5N6DYK3	80.3
466	Q9C1S3	A0A0F0IAE6	80.3
467	Q9C1S3	A0A5N6EB52	80.3
468	Q9C1S3	A0A1J7JQ54	80.3
469	Q9C1S3	A0A5N5JXS7	80.3
470	Q9C1S3	A0A5N5KQM7	80.3
471	Q9C1S3	A0A2S7QS87	80.2
472	Q9C1S3	A0A317VU31	80.2
473	Q9C1S3	A0A5N5WS51	80.2
474	Q9C1S3	W9X977	80.1
475	Q9C1S3	A0A395GID0	80.1
476	Q9C1S3	A0A0D2CX58	80.1
477	Q9C1S3	E3QV85	80.1
478	Q9C1S3	A0A2I0RJV3	80.0
479	Q9C1S3	A0A2T3AAA4	80.0
480	Q9C1S3	C7ZD82	80.0
481	Q9C1S3	R8BGK6	80.0
482	Q9C1S3	A0A1L9X343	80.0
483	Q9C1S3	A0A420Y6G0	80.0
484	Q9C1S3	M3CF66	79.9
485	Q9C1S3	A0A0D2L0R8	79.9
486	Q9C1S3	A0A066X5A7	79.9
487	Q9C1S3	A0A2T4BTG5	79.9
488	Q9C1S3	A0A4R8R015	79.9
489	Q9C1S3	A0A4T0WKD8	79.9
490	Q9C1S3	A0A0D2JCG4	79.9
491	Q9C1S3	A0A423XHQ7	79.9
492	Q9C1S3	A0A395HPP0	79.9
493	Q9C1S3	H6BU34	79.9
494	Q9C1S3	A0A0D1ZSC5	79.9
495	Q9C1S3	A0A428UCX7	79.9
496	Q9C1S3	A0A5N7AS31	79.9
497	Q9C1S3	A0A3M2SL30	79.9
498	Q9C1S3	A0A428NE95	79.9
499	Q9C1S3	A0A2G7FIX8	79.9
500	Q9C1S3	W3XJD9	79.9
501	Q9C1S3	A0A5Q4BJR1	79.9
502	Q9C1S3	A0A0D2CY69	79.8
503	Q9C1S3	G0RRS1	79.8
504	Q9C1S3	N4VAA4	79.8
505	Q9C1S3	A0A1G4BGG5	79.8
506	Q9C1S3	A0A166RI72	79.8
507	Q9C1S3	A0A1W2TQY8	79.7
508	Q9C1S3	A0A175W4Q6	79.7
509	Q9C1S3	A0A072PRU7	79.7
510	Q9C1S3	A0A0G2G1B8	79.7
511	Q9C1S3	A0A318ZDC1	79.7
512	Q9C1S3	A0A319CFQ0	79.7
513	Q9C1S3	A0A2V5HC18	79.7
514	Q9C1S3	A0A1J9PEQ4	79.7
515	Q9C1S3	A0A319EEE1	79.6
516	Q9C1S3	A0A010RMG6	79.6
517	Q9C1S3	A0A2I2G1Y8	79.6
518	Q9C1S3	A0A136J8S2	79.6
519	Q9C1S3	G9N8S0	79.6
520	Q9C1S3	A0A7C8IM37	79.4
521	Q9C1S3	A0A423WGA7	79.4
522	Q9C1S3	A0A1V6TTI6	79.4
523	Q9C1S3	A0A2P5HRC7	79.4
524	Q9C1S3	A0A507B7L9	79.4
525	Q9C1S3	W9W4X4	79.3
526	Q9C1S3	A0A0D2F3N4	79.3
527	Q9C1S3	A0A4U6X6L6	79.3
528	Q9C1S3	A0A0D2EK50	79.2
529	Q9C1S3	A0A1L9TT25	79.1
530	Q9C1S3	A0A2P4ZJM8	79.1
531	Q9C1S3	A0A2T3ZV55	79.1
532	Q9C1S3	A0A1V1TC36	79.1
533	Q9C1S3	A0A0C4E9L8	79.1
534	Q9C1S3	A0A3A2ZSQ4	79.1
535	Q9C1S3	A0A084GCK7	79.1
536	Q9C1S3	A0A1Y2EKH6	79.1
537	Q9C1S3	A0A0F9XM87	79.0
538	Q9C1S3	A0A0U5FTQ5	79.0
539	Q9C1S3	G9NP24	79.0
540	Q9C1S3	A0A7H8QPQ1	78.9
541	Q9C1S3	A0A395N9G7	78.8
542	Q9C1S3	A0A1Y2UY51	78.8
543	Q9C1S3	A0A2T4H210	78.7
544	Q9C1S3	A0A0E0SDM0	78.7
545	Q9C1S3	A0A4Q4YUR7	78.7
546	Q9C1S3	A0A1L9P564	78.7
547	Q9C1S3	A0A162IAZ2	78.6
548	Q9C1S3	A0A0F8U238	78.5
549	Q9C1S3	A0A2K0WVU4	78.5
550	Q9C1S3	A0A3D8R9B7	78.5
551	Q9C1S3	A0A4Q4VBJ1	78.5
552	Q9C1S3	W7N4L9	78.5
553	Q9C1S3	A0A1B8AE72	78.5
554	Q9C1S3	A0A135V8D0	78.4
555	Q9C1S3	A0A0D2YGJ6	78.4
556	Q9C1S3	X0CZJ3	78.4
557	Q9C1S3	A0A2H3H306	78.4
558	Q9C1S3	W9J4H7	78.4
559	Q9C1S3	F9F678	78.4
560	Q9C1S3	A0A4Q4VQ69	78.4
561	Q9C1S3	N1S467	78.4
562	Q9C1S3	N4TXI0	78.4
563	Q9C1S3	A0A2N3N139	78.4
564	Q9C1S3	A0A2I2F6L9	78.3
565	Q9C1S3	S0DVK4	78.2
566	Q9C1S3	J3PH24	78.2
567	Q9C1S3	A0A2T3YX01	78.2
568	Q9C1S3	A0A4Z0YFK3	78.2
569	Q9C1S3	F0X7T2	78.1
570	Q9C1S3	A0A4Q4UNX4	78.1
571	Q9C1S3	A0A1Y2WV54	78.1
572	Q9C1S3	A0A395SP46	78.1
573	Q9C1S3	G4U5F6	78.1
574	Q9C1S3	B6H004	78.1
575	Q9C1S3	Q8X1N1	78.1
576	Q9C1S3	A0A4V1XNJ5	78.1
577	Q9C1S3	A0A395N0T1	78.1
578	Q9C1S3	A0A5N6KBE6	78.0
579	Q9C1S3	A0A0N0NJ30	78.0
580	Q9C1S3	A0A1Y2VR85	77.9
581	Q9C1S3	A0A4Q4TAX8	77.9
582	Q9C1S3	A0A2L2SPC1	77.9
583	Q9C1S3	W2S189	77.9
584	Q9C1S3	W9Y7V1	77.8
585	Q9C1S3	A0A1V6S025	77.8
586	Q9C1S3	A0A1V6N6L8	77.8
587	Q9C1S3	A0A0M9WC58	77.8
588	Q9C1S3	W6QZY1	77.8
589	Q9C1S3	A0A0G4PTH8	77.8
591	Q9C1S3	S3D7K6	77.7
592	Q9C1S3	A0A101MG75	77.6
593	Q9C1S3	A0A0A2K2L2	77.6
594	Q9C1S3	A0A4Q4YSZ1	77.6
595	Q9C1S3	A0A1V6TRI2	77.6
596	Q9C1S3	A0A135LT87	77.6
597	Q9C1S3	A0A1E3BR69	77.6
598	Q9C1S3	A0A1C1C6C4	77.5
599	Q9C1S3	G2R1V2	77.5
600	Q9C1S3	A0A1V6R3E4	77.5
601	Q9C1S3	A0A395TAD6	77.5
